Date,GDP
2011-01-31,328096
2011-02-28,
2011-03-31,
2011-04-30,343678.8
2011-05-31,
2011-06-30,
2011-07-31,349987
2011-08-31,
2011-09-30,
2011-10-31,367175.4
2011-11-30,
2011-12-31,
2012-01-31,344574.6
2012-02-29,
2012-03-31,
2012-04-30,358275.7
2012-05-31,
2012-06-30,
2012-07-31,361834.3
2012-08-31,
2012-09-30,
2012-10-31,375426.7
2012-11-30,
2012-12-31,
2013-01-31,355384.7
2013-02-28,
2013-03-31,
2013-04-30,373096.5
2013-05-31,
2013-06-30,
2013-07-31,379887.2
2013-08-31,
2013-09-30,
2013-10-31,392450.8
2013-11-30,
2013-12-31,
2014-01-31,373559.7
2014-02-28,
2014-03-31,
2014-04-30,388566.9
2014-05-31,
2014-06-30,
2014-07-31,393425.4
2014-08-31,
2014-09-30,
2014-10-31,407377
2014-11-30,
2014-12-31,
2015-01-31,394273
2015-02-28,
2015-03-31,
2015-04-30,411386.8
2015-05-31,
2015-06-30,
2015-07-31,420790.8
2015-08-31,
2015-09-30,
2015-10-31,431569.8
2015-11-30,
2015-12-31,
2016-01-31,413495.1
2016-02-29,
2016-03-31,
2016-04-30,434536.3
2016-05-31,
2016-06-30,
2016-07-31,439479.8
2016-08-31,
2016-09-30,
2016-10-31,453268.4
2016-11-30,
2016-12-31,
2017-01-31,433086.1
2017-02-28,
2017-03-31,
2017-04-30,454226.7
2017-05-31,
2017-06-30,
2017-07-31,473427.5
2017-08-31,
2017-09-30,
2017-10-31,474957.9
2017-11-30,
2017-12-31,
2018-01-31,449231.1
2018-02-28,
2018-03-31,
2018-04-30,472824.7
2018-05-31,
2018-06-30,
2018-07-31,485725.4
2018-08-31,
2018-09-30,
2018-10-31,490411.3
2018-11-30,
2018-12-31,
2019-01-31,455479.2
2019-02-28,
2019-03-31,
2019-04-30,480743.7
2019-05-31,
2019-06-30,
2019-07-31,488769.6
2019-08-31,
2019-09-30,
2019-10-31,499505.6
2019-11-30,
2019-12-31,
2020-01-31,460085.6
2020-02-29,
2020-03-31,
2020-04-30,475980
2020-05-31,
2020-06-30,
2020-07-31,496340.3
2020-08-31,
2020-09-30,
2020-10-31,508320.3
2020-11-30,
2020-12-31,
2021-01-31,483472.6
2021-02-28,
2021-03-31,
2021-04-30,514474.3
2021-05-31,
2021-06-30,
2021-07-31,528869.3
2021-08-31,
2021-09-30,
2021-10-31,544841.8
2021-11-30,
2021-12-31,
2022-01-31,509565.8
2022-02-28,
2022-03-31,
2022-04-30,540700.8
2022-05-31,
2022-06-30,
2022-07-31,546304.5
2022-08-31,
2022-09-30,
2022-10-31,544119.282
2022-11-30,
2022-12-31,
