Date,실제
2011-01-31,7.20%
2011-02-28,6.80%
2011-03-31,6.80%
2011-04-30,6.60%
2011-05-31,6.60%
2011-06-30,5.90%
2011-07-31,6.20%
2011-08-31,7.10%
2011-09-30,7.10%
2011-10-31,7.30%
2011-11-30,7.60%
2011-12-31,7.80%
2012-01-31,8.40%
2012-02-29,8.20%
2012-03-31,8.30%
2012-04-30,9.90%
2012-05-31,9.60%
2012-06-30,8.60%
2012-07-31,9.20%
2012-08-31,9.60%
2012-09-30,9.00%
2012-10-31,9.20%
2012-11-30,8.90%
2012-12-31,7.80%
2013-01-31,7.50%
2013-02-28,8.00%
2013-03-31,8.00%
2013-04-30,8.20%
2013-05-31,7.10%
2013-06-30,7.60%
2013-07-31,7.30%
2013-08-31,6.80%
2013-09-30,6.80%
2013-10-31,7.30%
2013-11-30,6.70%
2013-12-31,7.40%
2014-01-31,7.40%
2014-02-28,7.10%
2014-03-31,7.80%
2014-04-30,7.30%
2014-05-31,6.60%
2014-06-30,6.90%
2014-07-31,7.70%
2014-08-31,7.40%
2014-09-30,8.30%
2014-10-31,7.90%
2014-11-30,7.90%
2014-12-31,8.10%
2015-01-31,8.70%
2015-02-28,8.50%
2015-03-31,8.20%
2015-04-30,8.60%
2015-05-31,9.00%
2015-06-30,9.30%
2015-07-31,9.50%
2015-08-31,9.70%
2015-09-30,9.00%
2015-10-31,8.90%
2015-11-30,9.20%
2015-12-31,9.00%
2016-01-31,7.80%
2016-02-29,8.30%
2016-03-31,8.60%
2016-04-30,8.30%
2016-05-31,8.40%
2016-06-30,7.60%
2016-07-31,7.10%
2016-08-31,7.30%
2016-09-30,7.80%
2016-10-31,7.70%
2016-11-30,7.90%
2016-12-31,7.60%
2017-01-31,8.00%
2017-02-28,7.50%
2017-03-31,6.80%
2017-04-30,7.20%
2017-05-31,6.90%
2017-06-30,7.70%
2017-07-31,7.20%
2017-08-31,7.10%
2017-09-30,6.70%
2017-10-31,6.40%
2017-11-30,6.70%
2017-12-31,6.00%
2018-01-31,6.20%
2018-02-28,6.40%
2018-03-31,6.90%
2018-04-30,6.80%
2018-05-31,7.00%
2018-06-30,6.10%
2018-07-31,6.70%
2018-08-31,6.60%
2018-09-30,6.20%
2018-10-31,6.20%
2018-11-30,6.20%
2018-12-31,6.90%
2019-01-31,6.50%
2019-02-28,6.10%
2019-03-31,6.70%
2019-04-30,6.70%
2019-05-31,6.50%
2019-06-30,6.90%
2019-07-31,6.50%
2019-08-31,7.10%
2019-09-30,7.20%
2019-10-31,7.60%
2019-11-30,7.20%
2019-12-31,7.40%
2020-01-31,8.10%
2020-02-29,7.50%
2020-03-31,7.70%
2020-04-30,8.00%
2020-05-31,7.50%
2020-06-30,7.90%
2020-07-31,8.60%
2020-08-31,8.00%
2020-09-30,8.50%
2020-10-31,7.60%
2020-11-30,8.30%
2020-12-31,8.40%
2021-01-31,8.40%
2021-02-28,8.30%
2021-03-31,8.90%
2021-04-30,8.90%
2021-05-31,9.60%
2021-06-30,10.70%
2021-07-31,8.80%
2021-08-31,9.30%
2021-09-30,9.90%
2021-10-31,10.30%
2021-11-30,9.60%
2021-12-31,10.10%
2022-01-31,9.80%
2022-02-28,10.20%
2022-03-31,10.00%
2022-04-30,9.50%
2022-05-31,8.50%
2022-06-30,7.40%
2022-07-31,8.60%
2022-08-31,7.50%
2022-09-30,7.10%
2022-10-31,6.80%
2022-11-30,6.70%
2022-12-31,5.90%
