Date,GDP(%)
2011-01-31,3.20%
2011-02-28,2.80%
2011-03-31,3.10%
2011-04-30,1.80%
2011-05-31,1.80%
2011-06-30,1.90%
2011-07-31,1.30%
2011-08-31,1.00%
2011-09-30,1.30%
2011-10-31,2.50%
2011-11-30,2.00%
2011-12-31,1.80%
2012-01-31,2.80%
2012-02-29,3.00%
2012-03-31,3.00%
2012-04-30,2.20%
2012-05-31,1.90%
2012-06-30,1.90%
2012-07-31,1.50%
2012-08-31,1.70%
2012-09-30,1.30%
2012-10-31,2.00%
2012-11-30,2.70%
2012-12-31,3.10%
2013-01-31,-0.10%
2013-02-28,0.10%
2013-03-31,0.40%
2013-04-30,2.50%
2013-05-31,2.40%
2013-06-30,1.80%
2013-07-31,1.70%
2013-08-31,2.50%
2013-09-30,2.50%
2013-10-31,2.80%
2013-11-30,3.60%
2013-12-31,4.10%
2014-01-31,3.20%
2014-02-28,2.40%
2014-03-31,2.60%
2014-04-30,0.10%
2014-05-31,-1.00%
2014-06-30,-2.90%
2014-07-31,4.00%
2014-08-31,4.20%
2014-09-30,4.60%
2014-10-31,3.50%
2014-11-30,3.90%
2014-12-31,5.00%
2015-01-31,2.60%
2015-02-28,2.20%
2015-03-31,2.20%
2015-04-30,0.20%
2015-05-31,-0.70%
2015-06-30,-0.20%
2015-07-31,2.30%
2015-08-31,3.70%
2015-09-30,3.90%
2015-10-31,1.50%
2015-11-30,2.10%
2015-12-31,2.00%
2016-01-31,0.70%
2016-02-29,1.00%
2016-03-31,1.40%
2016-04-30,0.50%
2016-05-31,0.80%
2016-06-30,1.10%
2016-07-31,1.20%
2016-08-31,1.10%
2016-09-30,1.40%
2016-10-31,2.90%
2016-11-30,3.20%
2016-12-31,3.50%
2017-01-31,1.90%
2017-02-28,1.90%
2017-03-31,2.10%
2017-04-30,0.70%
2017-05-31,1.20%
2017-06-30,1.40%
2017-07-31,2.60%
2017-08-31,3.00%
2017-09-30,3.10%
2017-10-31,3.00%
2017-11-30,3.30%
2017-12-31,3.20%
2018-01-31,2.60%
2018-02-28,2.50%
2018-03-31,2.90%
2018-04-30,2.30%
2018-05-31,2.20%
2018-06-30,2.00%
2018-07-31,4.10%
2018-08-31,4.20%
2018-09-30,4.20%
2018-10-31,3.50%
2018-11-30,3.50%
2018-12-31,3.40%
2019-01-31,
2019-02-28,2.60%
2019-03-31,2.20%
2019-04-30,3.20%
2019-05-31,3.10%
2019-06-30,3.10%
2019-07-31,2.10%
2019-08-31,2.00%
2019-09-30,2.00%
2019-10-31,1.90%
2019-11-30,2.10%
2019-12-31,2.10%
2020-01-31,2.10%
2020-02-29,2.10%
2020-03-31,2.10%
2020-04-30,-4.80%
2020-05-31,-5.00%
2020-06-30,-5.00%
2020-07-31,-32.90%
2020-08-31,-31.70%
2020-09-30,-31.40%
2020-10-31,33.10%
2020-11-30,33.10%
2020-12-31,33.40%
2021-01-31,4.00%
2021-02-28,4.10%
2021-03-31,4.30%
2021-04-30,6.40%
2021-05-31,6.40%
2021-06-30,6.40%
2021-07-31,6.50%
2021-08-31,6.60%
2021-09-30,6.70%
2021-10-31,2.00%
2021-11-30,2.10%
2021-12-31,2.30%
2022-01-31,6.90%
2022-02-28,7.00%
2022-03-31,6.90%
2022-04-30,-1.40%
2022-05-31,-1.50%
2022-06-30,-1.60%
2022-07-31,-0.90%
2022-08-31,-0.60%
2022-09-30,-0.60%
2022-10-31,2.60%
2022-11-30,2.90%
2022-12-31,3.20%
